ID / 사진명,연령,성별,내향/외향,감각/직관,사고/감정,판단/인식,형용사,per_id,형용사클러스터,컬러형용사
p_of_sa_m_10_0001,10~19,남성,-0.7999999999999998,4.2,2.2,1.4,향기로운,of_m10_01,귀여운,img_7
p_of_sa_m_10_0002,10~19,남성,0.8000000000000003,1.5,4.8,1.2000000000000002,전원적인,of_m10_02,내츄럴한,img_20
p_of_sa_m_10_0003,10~19,남성,-0.9999999999999998,2.0,3.8,0.0,화려한,of_m10_03,모던한,img_31
p_of_sa_m_10_0004,10~19,남성,0.7000000000000002,0.8,4.0,-0.3999999999999999,단순한,of_m10_04,은은한,img_40
p_of_sa_m_10_0005,10~19,남성,-0.3999999999999999,3.0,3.2,0.20000000000000018,성숙한,of_m10_05,화려한,img_14
p_of_sa_w_10_0001,10~19,여성,-0.3999999999999999,2.2,4.6,2.5,깨끗한,of_w10_01,맑은,img_17
p_of_sa_w_10_0002,10~19,여성,1.7999999999999998,4.7,1.2,2.0,매끄러운,of_w10_02,온화한,img_27
p_of_sa_w_10_0003,10~19,여성,0.0,3.0,1.4,-0.19999999999999996,시원한,of_w10_03,화려한,img_40
p_of_sa_w_10_0004,10~19,여성,-1.4,1.6,4.0,-0.19999999999999996,복잡한,of_w10_04,화려한,img_31
p_of_sa_w_10_0005,10~19,여성,-0.7999999999999998,4.0,4.3,1.6,향기로운,of_w10_05,귀여운,img_5
p_of_sa_m_20_0001,20~29,남성,-0.5,3.0,2.8,1.9,상쾌한,of_m20_01,맑은,img_5
p_of_sa_m_20_0002,20~29,남성,-0.9999999999999998,4.5,2.2,0.3999999999999999,매력적인,of_m20_02,화려한,img_10
p_of_sa_m_20_0003,20~29,남성,2.0,4.0,4.1,1.4,잔잔한,of_m20_03,온화한,img_28
p_of_sa_m_20_0004,20~29,남성,0.8000000000000003,2.4,2.0,1.9,유연한,of_m20_04,온화한,img_18
p_of_sa_m_20_0005,20~29,남성,0.20000000000000018,0.8,3.0,0.3999999999999999,멋진,of_m20_05,내츄럴한,img_14
p_of_sa_w_20_0001,20~29,여성,-0.19999999999999973,2.0,2.6,0.3999999999999999,넉넉한,of_w20_01,화려한,img_14
p_of_sa_w_20_0002,20~29,여성,-0.7999999999999998,1.8,4.0,0.3999999999999999,매력적인,of_w20_02,화려한,img_10
p_of_sa_w_20_0003,20~29,여성,-1.9,3.8,4.0,1.7999999999999998,사랑스러운,of_w20_03,귀여운,img_4
p_of_sa_w_20_0004,20~29,여성,1.2000000000000002,4.3,1.8,0.7999999999999998,간편한,of_w20_04,내츄럴한,img_24
p_of_sa_w_20_0005,20~29,여성,0.8000000000000003,2.8,3.9,0.2999999999999998,동양적인,of_w20_05,은은한,img_21
p_of_sa_w_20_0006,20~29,여성,1.9000000000000004,4.8,4.0,1.7999999999999998,매끄러운,of_w20_06,온화한,img_27
p_of_sa_m_30_0001,30~39,남성,-0.3999999999999999,3.0,4.2,1.0,감성적인,of_m30_01,내츄럴한,img_7
p_of_sa_m_30_0002,30~39,남성,1.1,2.9,3.8,0.3999999999999999,간편한,of_m30_02,내츄럴한,img_25
p_of_sa_m_30_0003,30~39,남성,1.2000000000000002,3.9,0.7,-0.30000000000000004,클래식한,of_m30_03,점잖은,img_25
p_of_sa_m_30_0004,30~39,남성,1.2999999999999998,2.2,4.0,1.4,소박한,of_m30_04,온화한,img_23
p_of_sa_m_30_0005,30~39,남성,1.0,1.2,1.6,1.2999999999999998,편안한,of_m30_05,내츄럴한,img_20
p_of_sa_w_30_0001,30~39,여성,-1.4,2.0,3.9,0.6000000000000001,한국적인,of_w30_01,화려한,img_9
p_of_sa_w_30_0002,30~39,여성,1.2000000000000002,3.2,3.9,0.8999999999999999,편안한,of_w30_02,내츄럴한,img_24
p_of_sa_w_30_0003,30~39,여성,2.0,4.0,1.2,0.6000000000000001,그윽한,of_w30_03,은은한,img_29
p_of_sa_w_30_0004,30~39,여성,1.2000000000000002,3.4,4.3,0.2999999999999998,간편한,of_w30_04,내츄럴한,img_25
p_of_sa_w_30_0005,30~39,여성,0.0,2.3,4.0,0.2999999999999998,멋진,of_w30_05,내츄럴한,img_14
p_of_sa_w_30_0006,30~39,여성,-0.6999999999999997,1.5,2.9,0.0,화려한,of_w30_06,모던한,img_31
p_of_sa_w_30_0007,30~39,여성,1.2999999999999998,0.7,4.1,1.7000000000000002,온화한,of_w30_07,온화한,img_23
p_of_sa_m_40_0001,40~49,남성,1.2000000000000002,3.6,2.8,2.2,순수한,of_m40_01,온화한,img_22
p_of_sa_m_40_0002,40~49,남성,-0.09999999999999964,0.5,3.8,0.7000000000000002,넉넉한,of_m40_02,화려한,img_14
p_of_sa_m_40_0003,40~49,남성,-0.5,3.0,2.4,0.6000000000000001,넉넉한,of_m40_03,화려한,img_10
p_of_sa_m_40_0004,40~49,남성,2.0,2.4,4.2,-1.2,차분한,of_m40_04,고상한,img_47
p_of_sa_m_40_0005,40~49,남성,1.2000000000000002,4.8,1.9,0.3999999999999999,간편한,of_m40_05,내츄럴한,img_25
p_of_sa_w_40_0001,40~49,여성,-1.5999999999999999,1.4,4.1,0.3999999999999999,다양한,of_w40_01,경쾌한,img_11
p_of_sa_w_40_0002,40~49,여성,-1.1999999999999997,3.8,4.8,-0.30000000000000004,화려한,of_w40_02,모던한,img_31
p_of_sa_w_40_0003,40~49,여성,0.10000000000000009,2.2,4.0,0.3999999999999999,멋진,of_w40_03,내츄럴한,img_14
p_of_sa_w_40_0004,40~49,여성,1.1,2.4,2.4,0.3999999999999999,간편한,of_w40_04,내츄럴한,img_25
p_of_sa_w_40_0005,40~49,여성,1.2000000000000002,2.7,4.1,1.2000000000000002,편안한,of_w40_05,내츄럴한,img_24
p_of_sa_m_50_0001,50~59,남성,1.4000000000000004,2.4,2.4,2.9000000000000004,투명한,of_m50_01,맑은,img_22
p_of_sa_m_50_0002,50~59,남성,-0.5999999999999996,2.0,3.0,1.0,환상적인,of_m50_02,화려한,img_7
p_of_sa_m_50_0003,50~59,남성,1.2000000000000002,3.9,2.4,0.6000000000000001,간편한,of_m50_03,내츄럴한,img_25
p_of_sa_m_50_0004,50~59,남성,-0.9999999999999998,2.2,2.0,0.20000000000000018,매력적인,of_m50_04,화려한,img_10
p_of_sa_m_50_0005,50~59,남성,1.2999999999999998,3.0,2.1,1.0,편안한,of_m50_05,내츄럴한,img_24
p_of_sa_w_50_0001,50~59,여성,1.2000000000000002,4.3,4.8,1.9,유연한,of_w50_01,온화한,img_23
p_of_sa_w_50_0002,50~59,여성,-0.3999999999999999,2.4,3.0,1.2000000000000002,감성적인,of_w50_02,내츄럴한,img_7
p_of_sa_w_50_0003,50~59,여성,1.2000000000000002,3.8,4.0,-1.1,보수적인,of_w50_03,점잖은,img_42
p_of_sa_w_50_0004,50~59,여성,0.0,2.1,4.0,-0.30000000000000004,시원한,of_w50_04,화려한,img_40
p_of_sa_w_50_0005,50~59,여성,-1.4,3.0,3.8,0.20000000000000018,다양한,of_w50_05,경쾌한,img_11
p_of_sa_m_60_0001,60대 이상,남성,1.4000000000000004,4.6,4.8,1.7999999999999998,온화한,of_m60_01,온화한,img_23
p_of_sa_m_60_0002,60대 이상,남성,-0.3999999999999999,3.0,2.3,1.7000000000000002,친근한,of_m60_02,내츄럴한,img_5
p_of_sa_m_60_0003,60대 이상,남성,2.0,2.3,4.0,2.0,매끄러운,of_m60_03,온화한,img_27
p_of_sa_m_60_0004,60대 이상,남성,-1.4999999999999998,2.0,3.0,-0.10000000000000009,복잡한,of_m60_04,화려한,img_11
p_of_sa_m_60_0005,60대 이상,남성,0.40000000000000036,3.6,1.8,-0.30000000000000004,고급스러운,of_m60_05,점잖은,img_40
p_of_sa_w_60_0001,60대 이상,여성,0.8000000000000003,2.4,2.8,1.1,전원적인,of_w60_01,내츄럴한,img_20
p_of_sa_w_60_0002,60대 이상,여성,-0.5999999999999996,2.2,2.0,0.7999999999999998,환상적인,of_w60_02,화려한,img_10
p_of_sa_w_60_0003,60대 이상,여성,1.0,2.9,3.0,0.0,동양적인,of_w60_03,은은한,img_25
p_of_sa_w_60_0004,60대 이상,여성,1.2000000000000002,4.0,3.1,2.3,순수한,of_w60_04,온화한,img_22
p_of_sa_w_60_0005,60대 이상,여성,0.10000000000000009,1.6,3.0,0.0,멋진,of_w60_05,내츄럴한,img_40
p_on_sa_m_10_0001,10~19,남성,-0.5,2.0,2.7,0.3999999999999999,넉넉한,on_m10_01,화려한,img_10
p_on_sa_m_10_0002,10~19,남성,-0.3999999999999999,3.0,2.0,1.0,감성적인,on_m10_02,내츄럴한,img_7
p_on_sa_m_10_0003,10~19,남성,1.2000000000000002,4.0,4.8,1.5,온화한,on_m10_03,온화한,img_23
p_on_sa_m_10_0004,10~19,남성,1.2000000000000002,3.1,3.8,-0.6000000000000001,클래식한,on_m10_04,점잖은,img_42
p_on_sa_m_10_0005,10~19,남성,0.9000000000000004,2.3,4.1,2.0,유연한,on_m10_05,온화한,img_18
p_on_sa_w_10_0001,10~19,여성,-1.4,3.1,3.5,1.0,새로운,on_w10_01,경쾌한,img_9
p_on_sa_w_10_0002,10~19,여성,0.20000000000000018,3.5,1.7,0.0,멋진,on_w10_02,내츄럴한,img_40
p_on_sa_w_10_0003,10~19,여성,1.2000000000000002,4.1,4.0,1.6,온화한,on_w10_03,온화한,img_23
p_on_sa_w_10_0004,10~19,여성,1.4000000000000004,1.8,1.4,1.0,단정한,on_w10_04,온화한,img_24
p_on_sa_w_10_0005,10~19,여성,2.0,3.8,4.8,-0.8999999999999999,수수한,on_w10_05,고상한,img_46
p_on_sa_m_20_0001,20~29,남성,-0.5999999999999996,3.0,2.8,0.6000000000000001,여유있는,on_m20_01,화려한,img_10
p_on_sa_m_20_0002,20~29,남성,-0.7999999999999998,2.0,2.2,2.5999999999999996,밝은,on_m20_02,귀여운,img_2
p_on_sa_m_20_0003,20~29,남성,1.2000000000000002,3.1,3.2,-0.7,품위있는,on_m20_03,점잖은,img_42
p_on_sa_m_20_0004,20~29,남성,0.0,2.1,4.0,2.0,따듯한,on_m20_04,내츄럴한,img_16
p_on_sa_m_20_0005,20~29,남성,2.0,4.0,1.7,-1.1,차분한,on_m20_05,고상한,img_47
p_on_sa_w_20_0001,20~29,여성,1.2999999999999998,4.1,1.9,1.0,편안한,on_w20_01,내츄럴한,img_24
p_on_sa_w_20_0002,20~29,여성,-0.3999999999999999,3.0,2.4,0.0,성숙한,on_w20_02,화려한,img_14
p_on_sa_w_20_0003,20~29,여성,-0.7999999999999998,1.9,2.0,-0.6000000000000001,차가운,on_w20_03,모던한,img_31
p_on_sa_w_20_0004,20~29,여성,2.0,3.7,4.2,-1.2,차분한,on_w20_04,고상한,img_47
p_on_sa_w_20_0005,20~29,여성,0.10000000000000009,4.0,4.0,2.4000000000000004,깨끗한,on_w20_05,맑은,img_17
p_on_sa_m_30_0001,30~39,남성,1.2000000000000002,4.3,0.8,1.7999999999999998,온화한,on_m30_01,온화한,img_23
p_on_sa_m_30_0002,30~39,남성,-0.3999999999999999,4.0,3.9,1.0,감성적인,on_m30_02,내츄럴한,img_7
p_on_sa_m_30_0003,30~39,남성,0.40000000000000036,2.1,2.0,-0.30000000000000004,고급스러운,on_m30_03,점잖은,img_40
p_on_sa_m_30_0004,30~39,남성,1.2000000000000002,4.0,2.7,-0.19999999999999996,클래식한,on_m30_04,점잖은,img_25
p_on_sa_m_30_0005,30~39,남성,-1.1999999999999997,2.7,1.6,1.0,감미로운,on_m30_05,내츄럴한,img_9
p_on_sa_w_30_0001,30~39,여성,1.0,3.8,3.9,-0.10000000000000009,단순한,on_w30_01,은은한,img_25
p_on_sa_w_30_0002,30~39,여성,1.2000000000000002,4.1,4.0,1.2000000000000002,편안한,on_w30_02,내츄럴한,img_24
p_on_sa_w_30_0003,30~39,여성,1.2999999999999998,2.4,1.5,2.0,순수한,on_w30_03,온화한,img_23
p_on_sa_w_30_0004,30~39,여성,-1.2999999999999998,2.3,3.6,-0.3999999999999999,차가운,on_w30_04,모던한,img_31
p_on_sa_w_30_0005,30~39,여성,1.4000000000000004,4.0,1.2,-0.8,고상한,on_w30_05,고상한,img_42
p_on_sa_m_40_0001,40~49,남성,1.1,3.4,2.9,0.20000000000000018,동양적인,on_m40_01,은은한,img_25
p_on_sa_m_40_0002,40~49,남성,-0.5,3.0,2.0,0.7000000000000002,넉넉한,on_m40_02,화려한,img_10
p_on_sa_m_40_0003,40~49,남성,2.0,4.0,4.1,2.7,연약한,on_m40_03,온화한,img_26
p_on_sa_m_40_0004,40~49,남성,-0.7999999999999998,1.7,2.0,0.0,화려한,on_m40_04,모던한,img_31
p_on_sa_m_40_0005,40~49,남성,-0.09999999999999964,2.0,2.2,-0.8,격식있는,on_m40_05,점잖은,img_40
p_on_sa_w_40_0001,40~49,여성,1.5,2.3,1.7,-0.5,고상한,on_w40_01,고상한,img_42
p_on_sa_w_40_0002,40~49,여성,1.9000000000000004,1.6,4.3,1.6,매끄러운,on_w40_02,온화한,img_27
p_on_sa_w_40_0003,40~49,여성,0.40000000000000036,4.0,2.3,0.0,고급스러운,on_w40_03,점잖은,img_40
p_on_sa_w_40_0004,40~49,여성,1.7000000000000002,3.6,4.1,-0.19999999999999996,심플한,on_w40_04,은은한,img_45
p_on_sa_w_40_0005,40~49,여성,-0.8999999999999999,1.7,3.5,0.0,화려한,on_w40_05,모던한,img_31
p_on_sa_m_50_0001,50~59,남성,1.1,2.0,3.0,1.1,편안한,on_m50_01,내츄럴한,img_20
p_on_sa_m_50_0002,50~59,남성,-0.5999999999999996,1.8,2.8,0.0,성숙한,on_m50_02,화려한,img_14
p_on_sa_m_50_0003,50~59,남성,1.7999999999999998,3.9,3.0,2.0,매끄러운,on_m50_03,온화한,img_27
p_on_sa_m_50_0004,50~59,남성,-0.3999999999999999,4.3,1.2,-0.7,하이테크한,on_m50_04,모던한,img_38
p_on_sa_m_50_0005,50~59,남성,-0.19999999999999973,4.0,2.0,0.8999999999999999,포근한,on_m50_05,내츄럴한,img_10
p_on_sa_w_50_0001,50~59,여성,1.2000000000000002,4.0,1.5,0.3999999999999999,간편한,on_w50_01,내츄럴한,img_25
p_on_sa_w_50_0002,50~59,여성,-0.5,1.0,3.0,0.0,성숙한,on_w50_02,화려한,img_14
p_on_sa_w_50_0003,50~59,여성,1.2000000000000002,3.6,4.8,1.7999999999999998,온화한,on_w50_03,온화한,img_23
p_on_sa_w_50_0004,50~59,여성,-0.3999999999999999,4.3,4.0,0.6000000000000001,넉넉한,on_w50_04,화려한,img_10
p_on_sa_w_50_0005,50~59,여성,-0.9999999999999998,4.7,2.0,0.7999999999999998,환상적인,on_w50_05,화려한,img_10
p_on_sa_m_60_0001,60대 이상,남성,1.2000000000000002,1.2,2.9,0.0,클래식한,on_m60_01,점잖은,img_25
p_on_sa_m_60_0002,60대 이상,남성,1.2000000000000002,3.1,2.3,1.0,편안한,on_m60_02,내츄럴한,img_24
p_on_sa_m_60_0003,60대 이상,남성,-0.7999999999999998,2.0,1.8,0.0,화려한,on_m60_03,모던한,img_31
p_on_sa_m_60_0004,60대 이상,남성,-0.8999999999999999,3.2,3.0,1.2000000000000002,감미로운,on_m60_04,내츄럴한,img_7
p_on_sa_w_60_0001,60대 이상,여성,-0.6999999999999997,2.8,3.3,1.0,환상적인,on_w60_01,화려한,img_7
p_on_sa_w_60_0002,60대 이상,여성,-0.3999999999999999,3.1,1.4,0.0,성숙한,on_w60_02,화려한,img_14
p_on_sa_w_60_0003,60대 이상,여성,-0.19999999999999973,2.3,4.2,1.7000000000000002,친근한,on_w60_03,내츄럴한,img_16
p_on_sa_w_60_0004,60대 이상,여성,0.5,2.0,2.0,0.10000000000000009,동양적인,on_w60_04,은은한,img_40
